Game ID,Game Name,Brand,Category,Image URL
,"2 Hand Casino Hold'em","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6312/public
,"Airwave Roulette","Microgaming",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10205/public
,"American Roulette","Evolution Live (Asia)",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/7605/public
,"American Roulette","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6320/public
,"American Roulette","PragmaticPlayLive-EU",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/5665/public
,"Amstel Roulette","Microgaming",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10207/public
,"Andar Bahar","PragmaticPlayLive-EU",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/5758/public
,"AstarGaming","Astar",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/7003/public
,"Auto Lightning Roulette","Evolution Live (Asia)",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/8190/public
,"Auto Mega Roulette","PragmaticPlayLive-EU",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/5739/public
,"Auto Roulette","PragmaticPlayLive-EU",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/5768/public
,"Auto Roulette","Microgaming",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10209/public
,"Auto-Roulette","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6323/public
,"Auto-Roulette La Partage","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6317/public
,"Auto-Roulette VIP","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6316/public
